x_grid	        anal1_dt1	      anal10_dt1	    anal50_dt1	    anal1_dt2	      anal10_dt2	    anal50_dt2	    fwdcds_n1_dt1	  fwdcds_n10_dt1	fwdcds_n50_dt1	fwdcds_n1_dt2	  fwdcds_n10_dt2	fwdcds_n50_dt2	bkwdcds_n1_dt1	bkwdcds_n10_dt1	bkwdcds_n50_dt1	bkwdcds_n1_dt2	bkwdcds_n10_dt2	bkwdcds_n50_dt2	
0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000
0.050000000745	0.946372747421	0.503236174583	0.229532197118	0.938218593597	0.484969645739	0.229532197118	0.100000001490	0.100000001490	0.100000001490	0.100000001490	0.100000001490	0.100000001490	0.100000001490	0.099999986589	0.099999897182	0.100000001490	0.100000001490	0.100000008941
0.100000001490	1.694202780724	0.959455430508	0.454340070486	1.681143641472	0.927422046661	0.454340070486	0.200000002980	0.200000002980	0.200000002980	0.200000002980	0.200000002980	0.200000002980	0.200000002980	0.199999913573	0.199999421835	0.200000017881	0.200000151992	0.200000420213
0.150000005960	2.123632669449	1.333377242088	0.669989109039	2.110613584518	1.294963240623	0.669989109039	0.300000011921	0.300000011921	0.300000011921	0.300000011921	0.300000011921	0.300000011921	0.300000011921	0.300000011921	0.299999028444	0.299999982119	0.299999862909	0.299999862909
0.200000002980	2.234657049179	1.608948588371	0.872594594955	2.226018667221	1.571901798248	0.872594594955	0.400000005960	0.400000005960	0.399999737740	0.400000005960	0.400000005960	0.399999558926	0.399999976158	0.399999707937	0.399998188019	0.400000005960	0.400000005960	0.399999111891
0.250000000000	2.132725477219	1.790199637413	1.059027910233	2.130333662033	1.760254144669	1.059027910233	0.500000000000	0.500000000000	0.499996006489	0.500000000000	0.500000000000	0.499993979931	0.499999970198	0.499999642372	0.499992638826	0.500000000000	0.500000000000	0.499991029501
0.300000011921	1.969094634056	1.895885229111	1.227049469948	1.971814036369	1.875457286835	1.227049469948	0.600000023842	0.600000023842	0.599955081940	0.600000023842	0.600000023842	0.599937140942	0.599999964237	0.599999427795	0.599941134453	0.600000023842	0.599999904633	0.599920749664
0.349999994040	1.868244528770	1.950755953789	1.375360965729	1.872919559479	1.939074277878	1.375360965729	0.699999988079	0.699999272823	0.699579656124	0.699999988079	0.699998915195	0.699456334114	0.699999928474	0.699997067451	0.699523448944	0.699999988079	0.699996888638	0.699391126633
0.400000005960	1.878834366798	1.977248072624	1.503581523895	1.882155179977	1.971614718437	1.503581523895	0.800000011921	0.799963355064	0.796847820282	0.800000011921	0.799953877926	0.796213805676	0.799999654293	0.799938917160	0.796710491180	0.799999594688	0.799923956394	0.796068310738
0.450000017881	1.969577550888	1.990557193756	1.612153649330	1.969780087471	1.987984180450	1.612153649330	0.900000035763	0.898856282234	0.881766557693	0.900000035763	0.898671209812	0.879569649696	0.899972438812	0.898680090904	0.881778597832	0.899967908859	0.898473680019	0.879626095295
0.500000000000	2.066134214401	1.998041629791	1.702200412750	2.063651084900	1.996474981308	1.702200412750	0.997600018978	0.978333890438	0.923186004162	0.997399985790	0.976716160774	0.919013738632	0.997655510902	0.978764176369	0.924085378647	0.997465074062	0.977210402489	0.920003056526
0.550000011921	1.903930187225	1.801816821098	1.575354337692	1.900760412216	1.800510764122	1.575354337692	0.899971187115	0.898623108864	0.881242752075	0.899966180325	0.898402214050	0.878996491432	0.899972438812	0.898680090904	0.881778836250	0.899967849255	0.898473680019	0.879626154900
0.600000023842	1.666014432907	1.602263212204	1.433577060699	1.664298892021	1.601373434067	1.433577060699	0.799999594688	0.799935042858	0.796547591686	0.799999535084	0.799918532372	0.795860946178	0.799999535084	0.799938678741	0.796710729599	0.799999535084	0.799924075603	0.796068310738
0.650000035763	1.386776804924	1.400377154350	1.278990507126	1.387473821640	1.400228500366	1.278990507126	0.699999928474	0.699997544289	0.699491202831	0.699999928474	0.699996471405	0.699344098568	0.699999928474	0.699997603893	0.699524462223	0.699999868870	0.699996292591	0.699389576912
0.699999988079	1.123801350594	1.198132395744	1.113733410835	1.126220345497	1.198674678802	1.113733410835	0.600000023842	0.599999964237	0.599937498569	0.600000023842	0.599999904633	0.599913001060	0.599999964237	0.599999427795	0.599941372871	0.599999964237	0.599999725819	0.599920690060
0.750000000000	0.918398261070	0.997393667698	0.939850449562	0.920791029930	0.998136997223	0.939850449562	0.500000000000	0.500000000000	0.499993354082	0.500000000000	0.500000000000	0.499990105629	0.500000000000	0.500000000000	0.499993622303	0.500000000000	0.500000000000	0.499990850687
0.800000011921	0.770162761211	0.798694729805	0.759221255779	0.770924985409	0.799051702023	0.759221255779	0.399999976158	0.399999976158	0.399999380112	0.399999976158	0.399999976158	0.399999022484	0.399999916553	0.399999380112	0.399997711182	0.400000005960	0.400000005960	0.399999350309
0.850000023842	0.640277147293	0.600968241692	0.573525786400	0.638977169991	0.600677430630	0.573525786400	0.299999952316	0.299999952316	0.299999952316	0.299999952316	0.299999952316	0.299999952316	0.299999952316	0.299999892712	0.299998998642	0.299999952316	0.299999952316	0.299999833107
0.900000035763	0.479494988918	0.402440249920	0.384242564440	0.477096498013	0.401740640402	0.384242564440	0.199999928474	0.199999928474	0.199999928474	0.199999928474	0.199999928474	0.199999928474	0.199999928474	0.199999928474	0.199999511242	0.199999928474	0.199999928474	0.199999928474
